grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,8,Comfort_P90,5000,0.002300000000000001,0.0,0.0009600000000000001,0.0037800000000000012,0.0009328589108910894,0.0037740958146272,0.0046,0.9942,0.0013328890369876708,
prefix,8,Comfort_all_pass,5000,0.0158,0.0,0.009,0.0226,0.009169717463738907,0.022567200833918315,0.0376,0.9406,0.0006664445184938354,
prefix,8,Comfort_all_fail,5000,-0.0002,0.0,-0.0006,0.0,-0.0006164088124747526,0.0,0.0,0.9998,0.7204265244918361,
prefix,8,Comfort_mixed,5000,-0.0156,0.0,-0.022205,-0.009,-0.022354998662223048,-0.008879124901739727,0.022,0.9404,0.0006664445184938354,
prefix,8,Comfort_headroom,5000,-0.014875,0.0,-0.017975,-0.0119,-0.017921398064454083,-0.011946159121577694,0.1832,0.5562,0.0006664445184938354,
prefix,8,covariance_adv_Comfort,5000,0.0466567348175525,0.012609139106643852,0.04192340703644357,0.05139516111925448,0.041790335997810756,0.051221192977844776,0.5778,0.0738,0.0006664445184938354,
prefix,8,negative_adv_Comfort_association,5000,-0.0522,0.0,-0.0636,-0.0404,-0.06298228369315091,-0.04106529860515803,0.0654,0.817,0.0006664445184938354,
prefix,8,positive_Comfort_failure_rate,4508,-0.0703273545443022,0.0,-0.08147319086918019,-0.059135575755842724,-0.0807851637419077,-0.05973065828128447,0.18611357586512867,0.537488908606921,0.0006664445184938354,
prefix,8,Comfort_positive_mean,4889,0.057329378877752774,0.0,0.0514704889307385,0.06292467437179317,0.05189820958055919,0.0629275864754428,0.3286970750664758,0.5197381877684598,0.0006664445184938354,
prefix,8,DDC_mean,5000,-0.0152375,0.0,-0.0175,-0.0131375,-0.01951616555722302,-0.011434275799077293,0.032,0.8732,0.0006664445184938354,
prefix,8,DDC_min,5000,-0.0266,0.0,-0.0325,-0.0208,-0.035182478084504414,-0.017968929275163213,0.0246,0.9138,0.0006664445184938354,
prefix,8,DDC_max,5000,-0.0007,0.0,-0.0015,0.0001,-0.001634345791465418,9.910469402620969e-05,0.0008,0.9972,0.0959680106631123,
prefix,8,DDC_std,5000,0.012375001081480928,0.0,0.009941365152834121,0.014815117333769756,0.008455476166026024,0.01641687817989272,0.0878,0.874,0.0006664445184938354,
prefix,8,DDC_P10,5000,-0.0294,0.0,-0.03415025,-0.02479975,-0.037543374810595484,-0.021656399000060972,0.0286,0.8926,0.0006664445184938354,
prefix,8,DDC_P50,5000,-0.01495,0.0,-0.01785,-0.01215,-0.019782081896864655,-0.010698599127152809,0.003,0.9652,0.0006664445184938354,
prefix,8,DDC_P90,5000,-0.0024500000000000004,0.0,-0.0036900000000000006,-0.0012600000000000005,-0.003849235472662179,-0.0011868134667807056,0.0018,0.9912,0.0006664445184938354,
prefix,8,DDC_all_pass,5000,-0.0216,0.0,-0.0288,-0.0146,-0.030782690808728006,-0.012326836415504258,0.0224,0.9336,0.0006664445184938354,
prefix,8,DDC_all_fail,5000,0.001,0.0,-0.0004,0.0024,-0.0004100462988985591,0.0026484544268050724,0.0018,0.9974,0.19860046651116295,
prefix,8,DDC_mixed,5000,0.0206,0.0,0.0136,0.028,0.011079718586105965,0.02987927228703259,0.0448,0.931,0.0006664445184938354,
prefix,8,DDC_headroom,5000,0.0145375,0.0,0.01245,0.016750312500000003,0.010682955929220252,0.018822271580514013,0.094,0.873,0.0006664445184938354,
prefix,8,covariance_adv_DDC,5000,-0.0019438335894142484,0.0,-0.0031997773260504453,-0.0007603383500583464,-0.0031020161519075304,-0.0008024802731279981,0.0612,0.8542,0.003332222592469177,
prefix,8,negative_adv_DDC_association,5000,0.0218,0.0,0.0158,0.027805000000000017,0.014865308878725643,0.029285226262438124,0.0372,0.9474,0.0006664445184938354,
prefix,8,positive_DDC_failure_rate,460,-0.0034472049689441018,0.0,-0.03558667143758088,0.02841110293308388,-0.03553646888006001,0.029007530341126988,0.2717391304347826,0.4260869565217391,0.8397200933022326,
prefix,8,DDC_positive_mean,4889,-0.017565915709707898,0.0,-0.02003920413967277,-0.01523843904252521,-0.02174988706388589,-0.013674943412462563,0.01779505011249744,0.9052976068725711,0.0006664445184938354,
prefix,8,train_gated_EP_contribution,5000,6.412284619169775,3.2899557974472344,6.16087499063586,6.662337517234977,6.094869934361858,6.73151367279667,0.73,0.1332,0.0006664445184938354,
prefix,8,train_gated_TTC_contribution,5000,2.966176470588236,0.0,2.8205698529411762,3.1143382352941176,2.7838461002682653,3.132847793305283,0.45,0.4652,0.0006664445184938354,
prefix,8,train_gated_Comfort_contribution,5000,0.8529411764705881,0.0,0.8007316176470587,0.9044154411764708,0.7975337359704051,0.9104956122198874,0.4494,0.3996,0.0006664445184938354,
prefix,16,mean_PDMS,5000,9.868420852835317,5.911784504228187,9.512226230278543,10.241147456403823,9.388625380922035,10.324846760546574,0.8348,0.0156,0.0006664445184938354,0.005331556147950683
prefix,16,min_PDMS,5000,9.273012670632454,0.0,8.589140900225843,9.952248013100203,8.54146701344798,10.028517375752562,0.3586,0.5626,0.0006664445184938354,
