protocol,rule,partition,condition,selected_scenes,mean_margin,passes,interpretation
native_grpo,practical,B,RL_PDMS_gain_min,183,4.1974069821228035,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_PDMS_gain_min,183,0.8197020186639832,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_PDMS_gain_max,183,0.08029798133601693,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,RL_feasible_gain_min,183,0.02137021857923498,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,RL_feasible_gain_max,183,-0.0023702185792349685,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_feasible_gain_min,183,-0.001557377049180331,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_feasible_gain_larger,183,-0.0049275956284153015,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,RL_center_small,183,0.024811768914506736,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_center_larger,183,0.0030906558932502375,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,RL_ADE_not_up,183,0.0032435320114177434,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,B,PSI_ADE_up,183,0.24471948307068622,True,descriptive_only_selection_used_FULL64_including_both_halves
