variant,pool_type,comparator,metric,full_scene_denominator,pc_defined_scenes,baseline_defined_scenes,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count,log_cluster_ci_low,log_cluster_ci_high,log_cluster_count,Holm_p_primary_family12
no_il_native,operational,pareto,mean_candidate_p_B_quality,1000,1000,1000,1000,1.8310546875e-07,0.0,0.0,5.4931640625e-07,0.0,0.0,0.001,0.6241252915694768,3000,1000,0.0,5.782430286078491e-07,512,
no_il_native,operational,pareto,QualityMatchedPoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,pareto,external_source_fraction,1000,1000,1000,1000,-0.0016875,0.0,-0.0048125,0.0013125,0.0,0.0,0.057,0.28390536487837387,3000,1000,-0.00490968841475823,0.0012475986465507428,512,
no_il_native,operational,pareto,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-0.071,0.0,-0.105,-0.04,0.0,0.0,0.014,0.0003332222592469177,3000,1000,-0.10500792433537831,-0.039831375946605053,512,
no_il_native,operational,pareto,fallback_fraction,1000,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003332222592469177,3000,1000,1.0,1.0,512,
no_il_native,operational,gt_geometry,mean_candidate_p_B,1000,1000,1000,1000,-4.7607421875e-06,0.0,-6.77490234375e-06,-2.9296875e-06,0.0,0.0,0.003,0.0003332222592469177,3000,1000,-6.652942466930269e-06,-2.9647019476505392e-06,512,
no_il_native,operational,gt_geometry,PoolMass,1000,1000,1000,1000,-3.80859375e-05,0.0,-5.17578125e-05,-2.5390625e-05,0.0,0.0,0.003,0.0003332222592469177,3000,1000,-5.129428787510317e-05,-2.538683912152086e-05,512,
no_il_native,operational,gt_geometry,candidate_PDMS,1000,1000,1000,1000,2.412209558122137,0.6825480993162572,2.216682732072043,2.614358296384231,0.34102172126929,1.0210166209897267,0.581,0.0003332222592469177,3000,1000,2.160411776544948,2.6659332963510365,512,
no_il_native,operational,gt_geometry,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,operational,gt_geometry,conservative_feasible_fraction,1000,1000,1000,1000,-0.0294375,0.0,-0.03575,-0.0234375,0.0,0.0,0.021,0.0003332222592469177,3000,1000,-0.03632854077427311,-0.023215789268225224,512,
no_il_native,operational,gt_geometry,mean_candidate_p_B_quality,1000,1000,1000,1000,-4.0283203125e-06,0.0,-5.859375e-06,-2.3193359375e-06,0.0,0.0,0.002,0.0003332222592469177,3000,1000,-5.72769408865544e-06,-2.2895715078973346e-06,512,
no_il_native,operational,gt_geometry,QualityMatchedPoolMass,1000,1000,1000,1000,-3.3203125e-05,0.0,-4.58984375e-05,-2.1484375e-05,0.0,0.0,0.002,0.0003332222592469177,3000,1000,-4.580499530956848e-05,-2.1490814282356152e-05,512,
no_il_native,operational,gt_geometry,external_source_fraction,1000,1000,1000,1000,0.2358125,0.25,0.22468593750000002,0.2470015625,0.1875,0.25,0.88,0.0003332222592469177,3000,1000,0.22396307456034506,0.24752998178142252,512,
no_il_native,operational,gt_geometry,near_duplicate_representatives_0_10m,1000,1000,1000,1000,1.92,1.0,1.783,2.059025,1.0,2.0,0.556,0.0003332222592469177,3000,1000,1.7698150716316112,2.0655886418111518,512,
no_il_native,operational,gt_geometry,fallback_fraction,1000,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003332222592469177,3000,1000,1.0,1.0,512,
no_il_native,strict,score,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,score,PoolMass,1000,1000,1000,1000,-1.953125e-05,0.0,-2.83203125e-05,-1.171875e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-2.8036097483592644e-05,-1.1741647357214427e-05,512,
no_il_native,strict,score,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,score,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,strict,score,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,score,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,score,QualityMatchedPoolMass,1000,1000,1000,1000,-1.46484375e-05,0.0,-2.24609375e-05,-7.8125e-06,0.0,0.0,0.0,0.0006664445184938354,3000,1000,-2.2664040651677952e-05,-7.712050724701171e-06,512,
no_il_native,strict,score,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,score,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-15.348,-16.0,-15.435,-15.263974999999999,-16.0,-16.0,0.0,0.0003332222592469177,3000,1000,-15.42902156965983,-15.267705081613318,512,
no_il_native,strict,score,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,PoolMass,1000,1000,1000,1000,-1.953125e-05,0.0,-2.83203125e-05,-1.171875e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-2.8279166462760214e-05,-1.197000505400161e-05,512,
no_il_native,strict,pareto,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,strict,pareto,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,QualityMatchedPoolMass,1000,1000,1000,1000,-1.46484375e-05,0.0,-2.24609375e-05,-7.8125e-06,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-2.2236717267552182e-05,-7.939532520325204e-06,512,
no_il_native,strict,pareto,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,pareto,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-15.419,-16.0,-15.495,-15.337,-16.0,-16.0,0.0,0.0003332222592469177,3000,1000,-15.490709140157852,-15.341631442267461,512,
no_il_native,strict,pareto,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,PoolMass,1000,1000,1000,1000,-5.76171875e-05,0.0,-7.2265625e-05,-4.296875e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-7.256461622905641e-05,-4.274144062133094e-05,512,
no_il_native,strict,gt_geometry,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,strict,gt_geometry,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,QualityMatchedPoolMass,1000,1000,1000,1000,-4.78515625e-05,0.0,-6.15234375e-05,-3.41796875e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-6.204950028733657e-05,-3.502768405763303e-05,512,
no_il_native,strict,gt_geometry,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,strict,gt_geometry,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-13.428,-14.0,-13.583025000000001,-13.263974999999999,-14.0,-13.0,0.0,0.0003332222592469177,3000,1000,-13.593760568418315,-13.259319905999392,512,
no_il_native,strict,gt_geometry,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
