stage,step,method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
F,50,score,PDMS,300,0.9414301225816782,0.0,-0.4914884910763913,2.4583516633708116,-0.307620592261884,0.0,0.2733333333333333
F,50,pareto,PDMS,300,0.2590490712732418,-0.06591241955304383,-1.1160884910675948,1.6108870295408455,-0.37373412933362715,0.0,0.25333333333333335
F,50,gt_distance,PDMS,300,0.2540183872893886,-0.15527644061442203,-1.1415516212055463,1.6329214888915402,-0.37749483405019646,0.0,0.22666666666666666
F,50,old_pc,PDMS,300,1.21396897816923,0.0,0.27351999800943905,2.211074418107077,-4.802632493701747e-05,0.0,0.31333333333333335
F,50,gt_only,feasible_rate,300,0.017604166666666667,0.0,0.001795572916666667,0.03330729166666667,0.0,0.0,0.18
F,50,score,feasible_rate,300,0.009140625,0.0,-0.009167317708333332,0.027344401041666667,0.0,0.0,0.17333333333333334
F,50,pareto,feasible_rate,300,0.004036458333333334,0.0,-0.014453776041666666,0.022162109375,0.0,0.0,0.16666666666666666
F,50,gt_distance,feasible_rate,300,0.004505208333333333,0.0,-0.011877604166666667,0.021198567708333334,0.0,0.0,0.15
F,50,old_pc,feasible_rate,300,0.00953125,0.0,-0.004507161458333332,0.023854817708333333,0.0,0.0,0.18
F,50,gt_only,hard_failure,300,-0.012239583333333333,0.0,-0.021901041666666666,-0.0038014322916666643,0.0,0.0,0.07
F,50,score,hard_failure,300,-0.013567708333333333,0.0,-0.029244791666666665,0.000703125,0.0,0.0,0.07666666666666666
F,50,pareto,hard_failure,300,-0.006171875,0.0,-0.019844401041666668,0.008074218750000006,0.0,0.0,0.09
F,50,gt_distance,hard_failure,300,-0.007734375,0.0,-0.021120442708333333,0.005940104166666676,0.0,0.0,0.09333333333333334
F,50,old_pc,hard_failure,300,-0.011536458333333333,0.0,-0.021747395833333332,-0.0013522135416666596,0.0,0.0,0.06
F,50,gt_only,EP,300,0.005289013176624466,0.0,-0.0030490039139467163,0.014148733805528238,-0.0022778525546148665,0.0,0.26
F,50,score,EP,300,0.001827427663519153,-0.0007417746171203277,-0.012351486175951948,0.01516009387569764,-0.007729538336533115,0.0,0.22333333333333333
F,50,pareto,EP,300,-0.004434319576433868,-0.0015818980692727802,-0.017783216517369322,0.008518256908394375,-0.007392221417927725,0.0,0.22
F,50,gt_distance,EP,300,-0.0024968642627043397,-0.0002967373386249528,-0.014510540347607973,0.010036148892109362,-0.006408450117536105,0.0,0.22333333333333333
F,50,old_pc,EP,300,0.0075902558527283035,0.0,-0.0014612916335318671,0.01692323786145576,0.0,0.0,0.28
F,50,gt_only,TTC,300,0.015703125,0.0,0.0048177083333333336,0.028360026041666667,0.0,0.0,0.12
F,50,score,TTC,300,0.0004947916666666667,0.0,-0.011328776041666665,0.012292968750000004,0.0,0.0,0.10333333333333333
F,50,pareto,TTC,300,-0.0014583333333333334,0.0,-0.012422526041666666,0.009505208333333333,0.0,0.0,0.09666666666666666
F,50,gt_distance,TTC,300,-0.000703125,0.0,-0.012839192708333332,0.011380208333333334,0.0,0.0,0.08333333333333333
F,50,old_pc,TTC,300,0.012630208333333334,0.0,0.003775390625,0.022761067708333336,0.0,0.0,0.12
F,50,gt_only,zero_score_rate,300,-0.012317708333333333,0.0,-0.021772135416666664,-0.003514973958333331,0.0,0.0,0.06333333333333334
F,50,score,zero_score_rate,300,-0.013880208333333333,0.0,-0.028882161458333333,0.001095052083333338,0.0,0.0,0.07
F,50,pareto,zero_score_rate,300,-0.0067708333333333336,0.0,-0.020839843749999996,0.007058593750000005,0.0,0.0,0.08333333333333333
F,50,gt_distance,zero_score_rate,300,-0.00859375,0.0,-0.021954427083333332,0.0048177083333333336,0.0,0.0,0.08666666666666667
