method,step,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
old_pc,100,feasible_rate,conditional_minus_baseline,300,-0.013645833333333333,0.0,-0.023698567708333333,-0.00421875,0.0,0.0,0.10333333333333333
old_pc,100,hard_failure,conditional_minus_baseline,300,0.01171875,0.0,0.004479166666666667,0.019635416666666666,0.0,0.0,0.11666666666666667
old_pc,100,zero_score_rate,conditional_minus_baseline,300,0.010520833333333333,0.0,0.0032805989583333333,0.018490234375,0.0,0.0,0.11
old_pc,100,EP,conditional_minus_baseline,300,-0.007976505738033938,0.0,-0.01471041730632727,-0.001553215093393137,0.0,0.0,0.4
old_pc,100,NC,conditional_minus_baseline,300,-0.0040625,0.0,-0.00796875,-0.0010416666666666667,0.0,0.0,0.013333333333333334
old_pc,100,DAC,conditional_minus_baseline,300,-0.007526041666666667,0.0,-0.014845703124999998,-0.0013274739583333311,0.0,0.0,0.04666666666666667
old_pc,100,TTC,conditional_minus_baseline,300,-0.005651041666666667,0.0,-0.012317708333333333,0.00023502604166666903,0.0,0.0,0.05333333333333334
old_pc,100,DDC,conditional_minus_baseline,300,-0.005247395833333333,0.0,-0.0108076171875,0.000234375,0.0,0.0,0.01
old_pc,100,pairwise_ADE,conditional_minus_baseline,300,-0.015430830662655185,-0.016902607561277747,-0.01881958927698416,-0.012188279020157022,-0.021317009445529916,-0.012136427323448717,0.25
old_pc,100,Spread_AUC,conditional_minus_baseline,300,-0.014386722606372923,-0.01547434694230268,-0.017160560722450847,-0.011549304268041747,-0.018540074100018566,-0.012039401858495724,0.22333333333333333
old_pc,100,spread_ratio_IL,conditional_minus_baseline,300,-0.11798218640929822,-0.12074203444909215,-0.14253556387708397,-0.0928664594517269,-0.15285700147524628,-0.09500981859593027,0.22333333333333333
old_pc,100,center_shift,conditional_minus_baseline,300,0.15410833838085333,0.1487717404961586,0.1358007647121946,0.17357596583167711,0.12638235837221146,0.16969553381204605,0.8666666666666667
old_pc,100,mean_center_shift,conditional_minus_baseline,300,0.15886149886374673,0.1546761691570282,0.13998097833773743,0.17738176375472298,0.12098827958106995,0.18217775970697403,0.8866666666666667
old_pc,100,CRN_policy_change_ADE,conditional_minus_baseline,300,0.14718916349112987,0.13225078582763672,0.12966344407883781,0.1651811278083672,0.10756213217973709,0.15766604244709015,0.87
old_pc,100,D_positive,conditional_minus_baseline,300,0.0033302856609225273,0.0,-0.002909798425932725,0.009629329892496269,0.0,0.0,0.23
old_pc,100,positive_count,conditional_minus_baseline,300,0.8583333333333333,0.0,0.18325000000000002,1.5683333333333334,0.0,0.0,0.2633333333333333
old_pc,100,IL_retention_loss,conditional_minus_baseline,300,0.0013343005511652942,0.0010698781120481726,0.0010950159588310462,0.0015957181723225253,0.0009026151274156291,0.0012564120027036552,0.8633333333333333
old_pc,100,candidate_fitting_loss,conditional_minus_baseline,300,0.0022708821801056185,0.001065645146809402,0.0012979186839842689,0.0039996555551517765,0.0009129643874416616,0.0011776837661727768,0.8633333333333333
old_pc,100,Hit1,conditional_minus_baseline,300,0.004453125,0.0,-0.0034121093749999998,0.012552083333333333,0.0,0.0,0.16666666666666666
old_pc,100,Hit8,conditional_minus_baseline,300,0.00819348926210296,0.0,-0.002912972419687129,0.01952715744088605,0.0,0.0,0.16333333333333333
old_pc,100,Hit16,conditional_minus_baseline,300,0.00893335145761261,0.0,-0.004114595563578307,0.022571760913287803,0.0,0.0,0.14
old_pc,100,Hit64,conditional_minus_baseline,300,0.011666666666666667,0.0,-0.008333333333333333,0.03333333333333333,0.0,0.0,0.05333333333333334
