analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,train,eval,psi,il_sft,Mass64_0p5,512,-0.622314453125,-0.8125,-0.6573490142822266,-0.5851417541503906,-0.6703647483174046,-0.572670766932959,0.05859375,0.029296875,145
teacher:il_sft:ALL,train,eval,psi,il_sft,Hit64_1p0,512,-0.337890625,0.0,-0.3779296875,-0.2978515625,-0.41467940182916546,-0.2647726074031454,0.0,0.626953125,145
teacher:il_sft:ALL,train,eval,psi,il_sft,Mass64_1p0,512,-0.5145416259765625,-0.57421875,-0.5519920349121094,-0.4763484954833984,-0.5786467238002562,-0.45106308552515834,0.0078125,0.234375,145
teacher:il_sft:ALL,train,eval,psi,score,native_epsilon_loss,512,0.0013274297327861007,0.0005312623688951135,0.001066336084135333,0.0016148934747318045,0.0008582842357119538,0.001879985474841486,0.81640625,0.0,145
teacher:il_sft:ALL,train,eval,psi,score,nearest_teacher_ADE,512,0.10024458061889163,0.06998391449451447,0.08435477847424408,0.11637994130587685,0.07566046107830385,0.1276227940910648,0.8046875,0.0,145
teacher:il_sft:ALL,train,eval,psi,score,Hit64_0p5,512,-0.05078125,0.0,-0.068359375,-0.0341796875,-0.07045166591399468,-0.03316303672006437,0.009765625,0.896484375,145
teacher:il_sft:ALL,train,eval,psi,score,Mass64_0p5,512,-0.0402069091796875,0.0,-0.050476455688476564,-0.0300140380859375,-0.051240815833420994,-0.0298028081546079,0.09375,0.49609375,145
teacher:il_sft:ALL,train,eval,psi,score,Hit64_1p0,512,-0.037109375,0.0,-0.0537109375,-0.021484375,-0.05444716715981555,-0.0213134424247005,0.017578125,0.91015625,145
teacher:il_sft:ALL,train,eval,psi,score,Mass64_1p0,512,-0.044036865234375,0.0,-0.05403213500976563,-0.03477210998535155,-0.056006203531910166,-0.03331485119187966,0.083984375,0.505859375,145
teacher:il_sft:ALL,train,eval,psi,pareto,native_epsilon_loss,512,0.0013251315243429929,0.0005226795619819313,0.0010608870865042696,0.0015980688413409717,0.0008639679862410565,0.0018749629892450426,0.806640625,0.0,145
teacher:il_sft:ALL,train,eval,psi,pareto,nearest_teacher_ADE,512,0.09764269776314904,0.06838992238044739,0.08144435882950347,0.11381417666843845,0.07242056260775165,0.12609724122266053,0.794921875,0.0,145
teacher:il_sft:ALL,train,eval,psi,pareto,Hit64_0p5,512,-0.052734375,0.0,-0.0693359375,-0.037109375,-0.07172568137758012,-0.03524978641878494,0.009765625,0.892578125,145
teacher:il_sft:ALL,train,eval,psi,pareto,Mass64_0p5,512,-0.0386810302734375,0.0,-0.04895210266113281,-0.02850341796875,-0.05032039317538308,-0.02800358095768252,0.09375,0.50390625,145
teacher:il_sft:ALL,train,eval,psi,pareto,Hit64_1p0,512,-0.0341796875,0.0,-0.05078125,-0.01953125,-0.04960481709239987,-0.019227099236641208,0.017578125,0.9140625,145
teacher:il_sft:ALL,train,eval,psi,pareto,Mass64_1p0,512,-0.0418853759765625,0.0,-0.051896286010742185,-0.032699203491210936,-0.05383492159411049,-0.030970469161364634,0.09375,0.5078125,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,native_epsilon_loss,512,-0.0005187940101176736,-0.00013478929759003222,-0.0006715265261897585,-0.0003850840997676296,-0.0006730454516007053,-0.00036022878432050035,0.33984375,0.0,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,nearest_teacher_ADE,512,-0.05745106402719102,-0.02477088663727045,-0.06824338966262075,-0.04734343071736476,-0.06862627077364289,-0.046909101648977755,0.30859375,0.0,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,Hit64_0p5,512,0.0537109375,0.0,0.03515625,0.0751953125,0.0311940569905271,0.07899822961239146,0.06640625,0.92578125,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,Mass64_0p5,512,0.0918426513671875,0.0,0.07151565551757813,0.11308364868164063,0.06824967106686362,0.11409460581351068,0.41015625,0.38671875,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,Hit64_1p0,512,0.0078125,0.0,0.001953125,0.015625,0.0017825311942959,0.016275324742287028,0.0078125,0.9921875,145
teacher:il_sft:ALL,train,eval,il_sft,official_il,Mass64_1p0,512,0.02349853515625,0.0,0.013762664794921876,0.03505020141601563,0.012947140677986952,0.03581254141671317,0.078125,0.90234375,145
