split,protocol,method,command,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
holdout,eval,psi,right,86.29686321008717,0.834178664921466,0.09404995636998255,0.2800703492880284,0.9581069090512514,0.23083535008405515,79.09464857868439,91.18410718052732,4.313233417850525,82.00685677423131,0.5761343804537522,0.5658813263525305,0.11103839441535776,83.50939179885765,98.52816863001745,91.95844240837697,94.65259598603839,97.32220767888307,99.9836387434555,1.0616706821142896,0.9650604599147359
holdout,eval,psi,straight,90.4506153175662,0.8803677050473186,0.05019716088328076,0.29125744445889906,1.551611348260958,0.2478922779145959,84.12284343330332,94.99518949105173,4.0236208891183525,86.36235078563922,0.6277996845425867,0.6199329652996846,0.06257886435331231,90.49227541253804,97.17320583596215,97.76641364353313,90.55944400630915,99.39964511041009,99.98669164037855,1.6598691953403444,1.5550006739101858
holdout,eval,score,left,92.06629493781439,0.8527558174224343,0.04026203261734288,0.2584228630940072,0.7287117004788695,0.21374679374298883,86.68830823832704,95.37696133868042,3.166104741456975,88.81426879610343,0.4483890214797136,0.437997215592681,0.09665871121718377,91.28333239096547,98.82066676610978,97.35170544948289,93.54614160700079,94.93306235083533,100.0,0.882056985320043,0.7343365179260714
holdout,eval,score,right,86.51138220521185,0.8401505235602095,0.08903250436300175,0.2723857900144022,0.8478698452339747,0.22433288840099155,79.56722806460238,91.24167098264296,4.290502499972594,82.27100211908058,0.5783158813263525,0.5681719022687609,0.10602094240837696,83.25560210839201,98.94878926701571,92.08115183246073,95.24705497382199,97.47559445898779,99.99727312390925,0.95709656470255,0.8549554010180278
holdout,eval,score,straight,90.93040746109085,0.892441344637224,0.045918769716088326,0.2988547161303766,1.4370649253532337,0.25449712887782405,84.69694481308326,95.20738305203278,3.865194400430359,86.99623463977026,0.6320189274447949,0.6249802839116719,0.05524447949526814,90.31568148214352,97.61028686908517,97.75310528391167,91.74314865930599,99.46014885646687,99.99778194006309,1.5467584861763528,1.4402779423299743
holdout,native_grpo,il_sft,left,73.53747968202283,0.6922359785202864,0.1477289677804296,1.9918195450694767,0.18471219607791142,1.5933242178475373,29.152035008020587,97.14967171101789,24.231713007096392,43.68219446773123,0.4372513922036595,0.3577963404932379,0.046539379474940336,76.39226961650843,95.74103768894193,89.34591288782816,83.51170942720763,93.89108492442323,71.22799821002387,0.4731501581610146,0.18839268084369487
holdout,native_grpo,il_sft,right,69.68762888257248,0.6936218368237347,0.19396269633507854,1.98745788891278,0.18674176499202041,1.589465442960383,26.12417590009466,95.48040112785895,25.326602629271427,39.77360862514964,0.5765706806282722,0.47720331588132636,0.030977312390924956,68.09616472072808,97.71010580279233,82.3230257417103,90.89905104712042,95.21228730366492,71.05830061082024,0.460790218305913,0.19189115761930406
holdout,native_grpo,il_sft,straight,66.85523483806536,0.685659010252366,0.1996648264984227,1.9905884632552835,0.17638103193236215,1.5935918837691707,18.52219727278262,96.66392470790936,28.61519905977893,32.03345176488304,0.5747634069400631,0.4623422712933754,0.008399053627760252,69.10820498736659,94.60432275236593,84.82896293375394,81.94030954258675,98.49110311514195,67.36001577287067,0.45754459164538536,0.17987053668220476
holdout,native_grpo,official_il,left,73.80257051865316,0.6982647175815434,0.14435411694510739,1.9937922791440807,0.0,1.5950805139427822,29.591644510072687,97.12370403861932,24.145065615452296,43.858291265930376,0.4451073985680191,0.3641607000795545,0.04554494828957836,76.43967798480612,96.18822096260939,89.27505966587113,84.07667064439141,94.050815433572,71.19008552108194,0.45588946559424415,0.0
holdout,native_grpo,official_il,right,69.51159785338898,0.7002345113438045,0.1932537085514834,1.9873897369827485,0.0,1.5895073981809367,26.085303497198204,95.44399162745486,25.600797599861302,38.973044149801176,0.587696335078534,0.47971204188481675,0.028795811518324606,67.22763279990292,97.70533376963351,82.41437609075044,91.2030977312391,95.48565663176265,71.41961169284468,0.4338536723455664,0.0
