analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed_average,holdout,native_grpo,psi,score,DAC,5000,0.1215625,0.0,0.0649921875,0.17844140625000002,0.06189787291577309,0.18305121713586886,0.2248,0.583,991
final512_seed_average,holdout,native_grpo,psi,score,TTC,5000,-0.489375,0.0,-0.5643828125,-0.41890625,-0.5677746969781241,-0.4123326090187377,0.2222,0.4204,991
final512_seed_average,holdout,native_grpo,psi,score,DDC,5000,-0.222890625,0.0,-0.255783203125,-0.190234375,-0.2754926004450709,-0.1774764758591128,0.0744,0.769,991
final512_seed_average,holdout,native_grpo,psi,score,Comfort,5000,-0.26546875,0.0,-0.31171875,-0.21890625,-0.3137037263904478,-0.21476076179718873,0.309,0.2724,991
final512_seed_average,holdout,native_grpo,psi,score,GT_center_distance,5000,0.09685712774413188,0.08647430218214386,0.09239716399993765,0.10121028744260765,0.09106603117277023,0.10277740767897693,0.7896,0.0,991
final512_seed_average,holdout,native_grpo,psi,score,CRN_policy_shift,5000,0.10495543876513838,0.09443003684282303,0.10049339486092329,0.10938360820226371,0.09892577309382401,0.11080374625565576,0.826,0.0,991
final512_seed_average,holdout,native_grpo,psi,pareto,mean_PDMS,5000,-0.15158688602789913,-0.05316905222864676,-0.21844104607715203,-0.08138331702488744,-0.22320219307620784,-0.07812811638479891,0.4718,0.0094,991
final512_seed_average,holdout,native_grpo,psi,pareto,feasible_rate,5000,-0.0043171875,0.0,-0.005192265624999999,-0.003476484375,-0.005256581964827664,-0.003360194835862997,0.326,0.2194,991
final512_seed_average,holdout,native_grpo,psi,pareto,hard_failure_rate,5000,0.0026171875,0.0,0.001909296875,0.0033484765625,0.0018062441680521202,0.0034451088827512654,0.3568,0.365,991
final512_seed_average,holdout,native_grpo,psi,pareto,pairwise_ADE64,5000,0.0012573334097862243,0.005204588174819946,0.0008156026360392571,0.0017004609945416452,0.0005725010885416913,0.0019179903489995882,0.7192,0.0,991
final512_seed_average,holdout,native_grpo,psi,pareto,centroid_displacement,5000,0.0999684034543112,0.08990857750177383,0.09545042474357877,0.10432161526717712,0.09350887326196769,0.10607167554069892,0.796,0.0,991
final512_seed_average,holdout,native_grpo,psi,pareto,Spread_AUC,5000,0.0009511027455329895,0.004462182521820068,0.0005641233000159264,0.0013332749596238137,0.00036241122427062766,0.0015087425328788357,0.718,0.0,991
final512_seed_average,holdout,native_grpo,psi,pareto,min_PDMS,5000,-0.08887223486790569,0.0,-0.20908109555984378,0.030705987251966046,-0.21045742086568534,0.03882444853466918,0.2222,0.571,991
final512_seed_average,holdout,native_grpo,psi,pareto,max_PDMS,5000,0.06046522974581289,0.0,0.017503172652981548,0.10164567564601776,0.016881306996823702,0.104586587438234,0.3564,0.532,991
final512_seed_average,holdout,native_grpo,psi,pareto,std_PDMS,5000,0.08205149192483778,0.042415546819808636,0.03505321053140507,0.13005339116145367,0.02946629752613225,0.13368675754125273,0.538,0.0052,991
final512_seed_average,holdout,native_grpo,psi,pareto,CVaR25_PDMS,5000,-0.2346292809318282,0.0,-0.3332374972418786,-0.13264701594508496,-0.3463660990427403,-0.12182834913022807,0.3598,0.2524,991
