scope,model,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
OLD1000,original_grpo_11970,pairwise_ADE64,1000,1.8253179942145943,1.8283636346459389,1.8219687548082322,1.8286079789398237,1.8219102558380698,1.8285779653543148,1.0,0.0,512
OLD1000,original_grpo_11970,centroid_displacement,1000,-0.0009520135000348092,0.0006317645311355591,-0.002040940141491592,0.00015863692089915292,-0.002032599412082207,0.00016176279088982133,0.521,0.0,512
OLD1000,original_grpo_11970,feasible_rate,1000,-0.1755625,-0.140625,-0.18739140625,-0.16378085937499998,-0.18889552199949894,-0.16304842308397985,0.039,0.097,512
OLD1000,original_grpo_11970,mean_PDMS,1000,-15.999371304115142,-12.459304094975934,-16.76614142608925,-15.250016128899663,-16.832002916811547,-15.185573433335282,0.009,0.001,512
OLD1000,original_grpo_11970,min_PDMS,1000,-63.27940002677696,-64.58333333333333,-64.99181194591326,-61.57442681540852,-65.03882650915878,-61.35185803353231,0.0,0.01,512
OLD1000,original_grpo_11970,max_PDMS,1000,1.947553692764706,0.23041569756339442,1.5991955889378238,2.348516343451096,1.5499797814303413,2.4474571627902013,0.518,0.454,512
OLD1000,original_grpo_11970,CVaR25_PDMS,1000,-44.436852602132696,-39.70369986471976,-45.96435302277844,-42.9799472166117,-46.10942165929798,-42.90469689697753,0.0,0.008,512
OLD1000,original_grpo_11970,Spread_AUC,1000,1.4542007819414138,1.4570531398057938,1.4513712895363569,1.456997283804603,1.451342197586011,1.4568785479863822,1.0,0.0,512
OLD1000,original_grpo_11970,hard_failure_rate,1000,0.085421875,0.03125,0.07757734375,0.09337578125,0.0767805960425532,0.09410867161827674,0.71,0.283,512
OLD1000,original_grpo_11970,zero_score_rate,1000,0.08290625,0.03125,0.07481093750000001,0.09071953125,0.07477630804021004,0.09158308139626074,0.692,0.301,512
OLD1000,original_grpo_11970,std_PDMS,1000,21.75131112129533,20.621517098104924,21.106233710726734,22.384439028315533,21.057333083778275,22.447898846593652,0.999,0.001,512
OLD1000,original_grpo_11970,no_safe_group,1000,-0.01975,0.0,-0.0275,-0.0125,-0.028565062679550796,-0.012064100523129746,0.0,0.969,512
OLD1000,original_grpo_11970,best_safe_PDMS,962,1.4066617177764729,0.0778430679667963,1.261244076904187,1.5675530854210564,1.260646320033878,1.557014683284008,0.5083160083160083,0.4553014553014553,502
OLD1000,original_grpo_11970,Hit16,1000,0.1185,0.0,0.101,0.13725,0.10057988831699614,0.13643343370779767,0.168,0.821,512
OLD1000,original_grpo_11970,GT_center_distance,1000,0.025943507794988184,0.027068692048260956,0.022395313001497632,0.02942178027168659,0.02239751971629743,0.02945479446585352,0.675,0.0,512
OLD1000,psi_sft,pairwise_ADE,1000,1.951748948391527,1.9559059254825115,1.9475555269254372,1.9560416632908397,1.9472971400981927,1.956332375449265,1.0,0.0,512
OLD1000,psi_sft,pairwise_ADE64,1000,1.9521524242013693,1.9575399979948997,1.9480782456677408,1.9562692151620984,1.9476827155511187,1.956649650554171,1.0,0.0,512
OLD1000,psi_sft,centroid_displacement,1000,0.058714174322783946,0.06698250770568848,0.05278375543374568,0.06458097308790312,0.05294930118153065,0.06449682975701815,0.773,0.0,512
OLD1000,psi_sft,feasible_rate,1000,-0.295078125,-0.28125,-0.309456640625,-0.28077890624999996,-0.3106919758989041,-0.2792135733268992,0.042,0.058,512
OLD1000,psi_sft,mean_PDMS,1000,-26.895103376199657,-24.262163774663847,-27.98035534588354,-25.799911303929754,-28.06181209481374,-25.762925739697728,0.019,0.002,512
OLD1000,psi_sft,min_PDMS,1000,-68.86958723365893,-79.3052282426369,-70.69753011950834,-66.96423960442236,-70.94539003239433,-66.87513955775621,0.0,0.055,512
OLD1000,psi_sft,max_PDMS,1000,1.3693958377301927,0.0,0.973903096308601,1.8368550166751425,0.9697319319416614,1.7965131092144206,0.476,0.413,512
OLD1000,psi_sft,CVaR25_PDMS,1000,-59.055114034106836,-62.39116566361327,-60.90423685801175,-57.24349738718775,-60.961779405294095,-57.1518013684446,0.0,0.032,512
OLD1000,psi_sft,Spread_AUC,1000,1.5566289003789424,1.5619817227125168,1.5530502622250468,1.5602090382099152,1.5529682795272606,1.560152113818798,1.0,0.0,512
OLD1000,psi_sft,hard_failure_rate,1000,0.1901875,0.140625,0.1784671875,0.20209453125,0.1771472975437743,0.20309580664309942,0.812,0.171,512
OLD1000,psi_sft,zero_score_rate,1000,0.185890625,0.140625,0.173875,0.19801640625,0.17370876545540764,0.1989158403170304,0.796,0.188,512
OLD1000,psi_sft,std_PDMS,1000,26.25245611779272,27.74087349822912,25.44410224905814,26.998906949120727,25.404920618728095,27.111395981325078,0.979,0.002,512
OLD1000,psi_sft,no_safe_group,1000,-0.01475,0.0,-0.0225,-0.008,-0.022317172321675526,-0.008023713129680301,0.009,0.963,512
OLD1000,psi_sft,best_safe_PDMS,969,0.6508344425188657,0.0,0.5293559310630657,0.7779840246380622,0.510276702443044,0.786212514001355,0.45098039215686275,0.41589267285861714,502
OLD1000,psi_sft,Hit16,1000,0.02375,0.0,0.01025,0.03775,0.009670299744448909,0.03829240940398389,0.087,0.838,512
OLD1000,psi_sft,GT_center_distance,1000,0.10297570783575873,0.10657292312601169,0.09622440621893204,0.10951435821492973,0.09605124270346663,0.11027292450549872,0.835,0.0,512
