scope,protocol,model,reference,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,eval,psi_sft,official_il,pairwise_ADE64,5000,0.1611138500213623,0.153791893273592,0.15957154055939987,0.16253335891138762,0.15868555696711362,0.16349943501153416,1.0,0.0,991
FULL5000,eval,psi_sft,official_il,centroid_displacement,5000,0.4294946530431509,0.3888681083917618,0.42264344128195197,0.4367539986800403,0.4187908297229248,0.44045639502601125,1.0,0.0,991
FULL5000,eval,psi_sft,official_il,feasible_rate,5000,-0.014065625,0.0,-0.018934453125,-0.009396640625,-0.018850154525796897,-0.009341020507676566,0.0582,0.8098,991
FULL5000,eval,psi_sft,official_il,mean_PDMS,5000,0.6911980410692733,0.33321242578054466,0.3229602791780804,1.0659029374993598,0.3163039768895768,1.0865473464283542,0.541,0.2678,991
FULL5000,eval,psi_sft,official_il,min_PDMS,5000,-2.069827181732306,0.0,-2.648425596860455,-1.4697953586499426,-2.701046049255384,-1.4661935492693488,0.4814,0.2962,991
FULL5000,eval,psi_sft,official_il,max_PDMS,5000,1.9637599636427994,0.6595831787813395,1.6656703314988,2.2564339816996988,1.6642374023798858,2.277945965843992,0.5562,0.38,991
FULL5000,eval,psi_sft,official_il,CVaR25_PDMS,5000,-0.6442093321487748,0.013566671063188096,-1.1833525987765978,-0.13038664767651847,-1.193896680293518,-0.10353606083304909,0.5014,0.2834,991
FULL5000,eval,psi_sft,official_il,Spread_AUC,5000,0.12843143291287124,0.12230400368571281,0.12721617454540915,0.12967383114577272,0.12633323290347412,0.13047450387144835,0.9998,0.0,991
FULL5000,eval,psi_sft,official_il,hard_failure_rate,5000,0.00703125,0.0,0.003428046875,0.010935000000000002,0.0032776267207965783,0.010795700852653831,0.0792,0.885,991
FULL5000,eval,psi_sft,official_il,zero_score_rate,5000,0.00596875,0.0,0.002406171875,0.009506406250000002,0.0023693555562188514,0.00949715179908688,0.0748,0.8898,991
FULL5000,eval,psi_sft,official_il,std_PDMS,5000,1.3356332142916683,0.15489418036743624,1.0842504158999289,1.5810145774079147,1.0755887436828349,1.589645918577978,0.6082,0.2678,991
FULL5000,eval,psi_sft,official_il,no_safe_group,5000,-0.00395,0.0,-0.00795,-0.0001,-0.007770816536441351,-0.00016216642748768923,0.0148,0.9668,991
FULL5000,eval,psi_sft,official_il,best_safe_PDMS,4766,1.753993327856472,0.6491641508735952,1.6800867573690428,1.8301834172009233,1.649061905174871,1.8584573669068056,0.5589592950062946,0.3877465379773395,975
FULL5000,eval,psi_sft,official_il,Hit16,5000,0.28365,0.0,0.27099875,0.2958,0.263380937187431,0.303159830111548,0.3752,0.5984,991
FULL5000,eval,psi_sft,official_il,GT_center_distance,5000,0.1997632812801673,0.16976250986399138,0.1919626838712745,0.2074153198026204,0.19048222994256717,0.2091391111770854,0.775,0.0,991
FULL5000,eval,psi_sft,original_grpo_11970,pairwise_ADE,5000,0.13510442985165863,0.12784768920391798,0.1336386155630881,0.13651314351022242,0.13303329676700443,0.13725661291332722,0.9996,0.0,991
FULL5000,eval,psi_sft,original_grpo_11970,pairwise_ADE64,5000,0.1351004389062524,0.1278570145368576,0.13376711162753402,0.13647724043447523,0.13288443604841169,0.13727518997360608,0.9996,0.0,991
FULL5000,eval,psi_sft,original_grpo_11970,centroid_displacement,5000,-0.07191841330528259,-0.08578051626682281,-0.07852003112649546,-0.0648985358516313,-0.080577911276396,-0.06296806467029951,0.343,0.0,991
FULL5000,eval,psi_sft,original_grpo_11970,feasible_rate,5000,-0.0292875,0.0,-0.034994921874999994,-0.023668359374999996,-0.035707395046190055,-0.022699946769430494,0.0328,0.8162,991
FULL5000,eval,psi_sft,original_grpo_11970,mean_PDMS,5000,-2.6926013870618406,0.0,-3.0945439183597077,-2.296121497415078,-3.1337558197533815,-2.259992929198741,0.2732,0.2868,991
FULL5000,eval,psi_sft,original_grpo_11970,min_PDMS,5000,-7.924208619906834,0.0,-8.55777176463698,-7.302986678276053,-8.707422830304257,-7.19440363290488,0.2094,0.2956,991
FULL5000,eval,psi_sft,original_grpo_11970,max_PDMS,5000,0.05854727279641825,0.0,-0.22800514913335687,0.34408915141428,-0.2559626956107905,0.3700627014392132,0.3478,0.4174,991
FULL5000,eval,psi_sft,original_grpo_11970,CVaR25_PDMS,5000,-5.634054383979515,0.0,-6.191694553915727,-5.066959649832637,-6.296528567220865,-4.997234891514621,0.2306,0.2928,991
FULL5000,eval,psi_sft,original_grpo_11970,Spread_AUC,5000,0.10658983759731054,0.10033957660198212,0.10544562765080481,0.10781189591947943,0.10494112164212516,0.10836821372850569,0.9992,0.0,991
