scope,membership,model,protocol,kind,scenes,teachers,nearest_ADE,hit64_0p25,hit16_0p25,mass64_0p25,hit64_0p5,hit16_0p5,mass64_0p5,hit64_1p0,hit16_1p0,mass64_1p0,weighted_nearest_ADE,weighted_hit64_0p25,weighted_hit16_0p25,weighted_mass64_0p25,weighted_hit64_0p5,weighted_hit16_0p5,weighted_mass64_0p5,weighted_hit64_1p0,weighted_hit16_1p0,weighted_mass64_1p0
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,1679,1679,0.8898615971997496,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.8558665872543181,0.43478260869565216,0.037094252531268614,0.8898615971997496,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.8558665872543181,0.43478260869565216,0.037094252531268614
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,3677,4594,1.198499064569341,0.0,0.0,0.0,0.0,0.0,0.0,0.20746079231257364,0.07672695131901006,0.005663017858761671,1.1928354849917817,0.0,0.0,0.0,0.0,0.0,0.0,0.21438672815226392,0.07966752773212096,0.0058875271851925835
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,4111,6273,0.9060135784719119,0.18243736317197762,0.1486965863942269,0.04906424835806373,0.2910078650774345,0.27341279494040377,0.18783193464688236,0.5230276493959296,0.4921855996108003,0.393921541798427,0.8428008653036843,0.21879104667120505,0.17868219242967906,0.05990045700356821,0.34191194158550364,0.3221813400469247,0.22256236884036612,0.5785940144146715,0.5486256354947184,0.4490057133809656
FULL5000,PSI_TRAIN,psi_sft,eval,GT,1679,1679,0.2800574397902321,0.6104824300178677,0.5035735556879095,0.17460169743895176,0.8921977367480644,0.8522930315664086,0.6098030821917808,0.9815366289458011,0.9767718880285885,0.9339450565812983,0.2800574397902321,0.6104824300178677,0.5035735556879095,0.17460169743895176,0.8921977367480644,0.8522930315664086,0.6098030821917808,0.9815366289458011,0.9767718880285885,0.9339450565812983
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,3677,4594,1.1122162832488727,0.0415646813525519,0.031207506119118846,0.007544788550448735,0.10171335327712809,0.09145816335780982,0.05332840404315112,0.3621158553168344,0.3258544102982504,0.21638309083491977,1.0999148080744983,0.043772096709450335,0.03300924657932403,0.008092534648817309,0.10625509904362697,0.0957030185521346,0.055800839553964275,0.3766929559533221,0.3402502032800767,0.22737413259065561
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,4111,6273,1.1719113944424124,0.0,0.0,0.0,8.108327252087893e-05,2.0270818130219733e-05,1.2669261331387333e-06,0.2657504256871807,0.09537419930268384,0.0068002260196221515,1.149773069452816,0.0,0.0,0.0,0.000170274869394082,4.25687173485205e-05,2.6605448342825312e-06,0.2998783738399706,0.10907625806785448,0.007807178855281232
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,1679,1679,0.9608555855745358,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.6372840976771889,0.2473198332340679,0.018091125670041692,0.9608555855745358,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.6372840976771889,0.2473198332340679,0.018091125670041692
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,3677,4594,1.2413587702302982,0.0,0.0,0.0,0.0,0.0,0.0,0.14250747892303509,0.04554210860302783,0.003115509699936543,1.236254117250248,0.0,0.0,0.0,0.0,0.0,0.0,0.1474571660189386,0.0473143866375344,0.0032403708801842642
FULL5000,PSI_VALIDATION,official_il,eval,ALL,889,889,0.4780220452589229,0.39032620922384703,0.3388638920134983,0.1783253655793026,0.6681664791901012,0.6242969628796401,0.468275449943757,0.8998875140607424,0.8849831271091113,0.8243110236220472,0.4780220452589229,0.39032620922384703,0.3388638920134983,0.1783253655793026,0.6681664791901012,0.6242969628796401,0.468275449943757,0.8998875140607424,0.8849831271091113,0.8243110236220472
FULL5000,PSI_VALIDATION,official_il,eval,GT,889,889,0.4780220452589229,0.39032620922384703,0.3388638920134983,0.1783253655793026,0.6681664791901012,0.6242969628796401,0.468275449943757,0.8998875140607424,0.8849831271091113,0.8243110236220472,0.4780220452589229,0.39032620922384703,0.3388638920134983,0.1783253655793026,0.6681664791901012,0.6242969628796401,0.468275449943757,0.8998875140607424,0.8849831271091113,0.8243110236220472
FULL5000,PSI_VALIDATION,official_il,native_grpo,ALL,889,889,0.9720509994284777,0.0,0.0,0.0,0.0022497187851518562,0.0005624296962879641,3.5151856017997754e-05,0.7232845894263217,0.37598425196850394,0.03232213160854893,0.9720509994284777,0.0,0.0,0.0,0.0022497187851518562,0.0005624296962879641,3.5151856017997754e-05,0.7232845894263217,0.37598425196850394,0.03232213160854893
FULL5000,PSI_VALIDATION,official_il,native_grpo,GT,889,889,0.9720509994284777,0.0,0.0,0.0,0.0022497187851518562,0.0005624296962879641,3.5151856017997754e-05,0.7232845894263217,0.37598425196850394,0.03232213160854893,0.9720509994284777,0.0,0.0,0.0,0.0022497187851518562,0.0005624296962879641,3.5151856017997754e-05,0.7232845894263217,0.37598425196850394,0.03232213160854893
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,889,889,0.7031242957148026,0.09898762654668167,0.08014623172103487,0.02891240157480315,0.374578177727784,0.33352080989876265,0.21013779527559054,0.8166479190101237,0.7930258717660292,0.6918061023622047,0.7031242957148026,0.09898762654668167,0.08014623172103487,0.02891240157480315,0.374578177727784,0.33352080989876265,0.21013779527559054,0.8166479190101237,0.7930258717660292,0.6918061023622047
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,889,889,0.7031242957148026,0.09898762654668167,0.08014623172103487,0.02891240157480315,0.374578177727784,0.33352080989876265,0.21013779527559054,0.8166479190101237,0.7930258717660292,0.6918061023622047,0.7031242957148026,0.09898762654668167,0.08014623172103487,0.02891240157480315,0.374578177727784,0.33352080989876265,0.21013779527559054,0.8166479190101237,0.7930258717660292,0.6918061023622047
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,889,889,1.0156873303671923,0.0,0.0,0.0,0.0011248593925759281,0.00028121484814398203,1.7575928008998877e-05,0.6107986501687289,0.26462317210348707,0.021671119235095612,1.0156873303671923,0.0,0.0,0.0,0.0011248593925759281,0.00028121484814398203,1.7575928008998877e-05,0.6107986501687289,0.26462317210348707,0.021671119235095612
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,889,889,1.0156873303671923,0.0,0.0,0.0,0.0011248593925759281,0.00028121484814398203,1.7575928008998877e-05,0.6107986501687289,0.26462317210348707,0.021671119235095612,1.0156873303671923,0.0,0.0,0.0,0.0011248593925759281,0.00028121484814398203,1.7575928008998877e-05,0.6107986501687289,0.26462317210348707,0.021671119235095612
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,889,889,0.5546390190971984,0.27671541057367827,0.20191226096737908,0.052534448818897635,0.592800899887514,0.5115298087739033,0.27414932508436446,0.8796400449943758,0.8503937007874016,0.7161136107986502,0.5546390190971984,0.27671541057367827,0.20191226096737908,0.052534448818897635,0.592800899887514,0.5115298087739033,0.27414932508436446,0.8796400449943758,0.8503937007874016,0.7161136107986502
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,889,889,0.5546390190971984,0.27671541057367827,0.20191226096737908,0.052534448818897635,0.592800899887514,0.5115298087739033,0.27414932508436446,0.8796400449943758,0.8503937007874016,0.7161136107986502,0.5546390190971984,0.27671541057367827,0.20191226096737908,0.052534448818897635,0.592800899887514,0.5115298087739033,0.27414932508436446,0.8796400449943758,0.8503937007874016,0.7161136107986502
