checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
grpo_9041,16,7,0.17004381,0.14229807,0.469
grpo_9041,16,8,0.17073552,0.14289969,0.472
grpo_9041,16,9,0.1699957,0.1423524,0.4705
grpo_9041,16,10,0.1705959,0.14271504,0.4745
grpo_9041,16,11,0.17070644,0.14283104,0.47
grpo_9041,16,12,0.1707895,0.14302453,0.4735
grpo_9041,16,13,0.16924734,0.14154106,0.471
grpo_9041,16,14,0.1701637,0.1423588,0.471
grpo_9041,16,15,0.17060164,0.1427034,0.471
grpo_9041,16,16,0.17149574,0.1435729,0.468
grpo_9041,16,17,0.17074975,0.1429208,0.471
grpo_9041,16,18,0.16994648,0.14211844,0.466
grpo_9041,16,19,0.16936196,0.14165159,0.4665
grpo_9041,16,20,0.17010112,0.14228219,0.472
grpo_9041,16,21,0.16980533,0.142036,0.4695
grpo_9041,16,22,0.17150731,0.14348036,0.474
grpo_9041,16,23,0.17026474,0.1425108,0.47
grpo_9041,16,24,0.17162016,0.14362381,0.4695
grpo_9041,16,25,0.17157261,0.14345202,0.477
grpo_9041,16,26,0.17113723,0.14326696,0.473
grpo_9041,16,27,0.16965131,0.1419829,0.4645
grpo_9041,16,28,0.17009556,0.14230609,0.4685
grpo_9041,16,29,0.17103074,0.14302914,0.4705
grpo_9041,16,30,0.17068282,0.14270113,0.468
grpo_9041,16,31,0.17068197,0.14280419,0.4705
grpo_9041,16,32,0.17112343,0.14320746,0.469
grpo_9041,16,33,0.17012264,0.14224888,0.4725
grpo_9041,16,34,0.16965723,0.14172956,0.4685
grpo_9041,16,35,0.16991366,0.14216122,0.47
grpo_9041,16,36,0.17064229,0.14272137,0.4735
grpo_9041,16,37,0.1713846,0.14339283,0.47
grpo_9041,16,38,0.16913617,0.14141041,0.475
grpo_9041,16,39,0.1715448,0.14349437,0.469
grpo_9041,16,40,0.17020696,0.14230432,0.4675
grpo_9041,16,41,0.1711248,0.14322738,0.4715
grpo_9041,16,42,0.169676,0.14189523,0.467
grpo_9041,16,43,0.1710744,0.1431173,0.4695
grpo_9041,16,44,0.17044562,0.14255059,0.471
grpo_9041,16,45,0.17084807,0.14289747,0.468
grpo_9041,16,46,0.1703894,0.14245398,0.471
grpo_9041,16,47,0.17033897,0.14255501,0.4695
